kritik dan saran,teks_bersih,klaster,top_keywords,sentimen,skor_sentimen,makna,skor_konstruktif
Kedepannya waktu pelatihan lebih banyak,depan latih lebih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Kedepannya waktu pelatihan lebih banyak,depan latih lebih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
"Untuk Pengajar khusus OKM Kelas A sangat luar biasa, karena dia mengajarkan secara mendetail orangnya juga sangat ramah kepada peserta pelatihan.",ajar khusus okm kelas a sangat ajar detail orang sangat ramah serta latih,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,1,bermakna,1
"Saran baiknya pemateri menyampaikan materi dengan pelang agar para peserta dapat memahami dengan baik, tapi penyampaian materinya sudah sangat jelas hanya perlu pelang² karna kecepatan menangkap materi berbeda-beda.",baik materi materi pelang serta paham baik sampai materi sangat pelang cepat tangkap materi berbedabeda,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
"Saya sangat suka dengan cara mengajar dalam memberikan materi, kurangnya sih mungkin agak kecepatan heheh soalnya klau mempraktekkan saya selalu ketinggalan kak",sangat suka ajar materi kurang cepat heheh klau praktek tinggal,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,2
"Tidak ada materi yang ditampilkan, saran agar materinya di buat dalam powerpoint",tidak materi tampil materi powerpoint,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,1
Maaf kak tadi akun pertama salah isi jadi ganti akun isi form ini,maaf akun salah isi ganti akun isi form,0,"ganti, menu, buah ganti, kursi, menu ganti, buah, ganti ganti, ganti menu, he, isi",negatif,-1,bermakna,1
Kritik saya untuk pemateri kalau bisa jagan terlalu cepat menyampaikan materi karna banyak peserta yg ketinggalan materi,materi jagan cepat materi serta tinggal materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,1
"Ilmu nya sangat membantu, khusus nya bagi orang yg jurusan nya terkait dengan operator komputer",ilmu sangat bantu khusus orang jurus kait operator komputer,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,1
Saran saya dalam pemaparan materi terlalu cepat,papar materi cepat,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,0
Kadang menjelaskannya terlalu cepat😅 over all terimakasih Kak untuk materi yang diberikan,kadang jelas cepat over all materi,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Sangat suka dengan cara pembawaan dari pemateri. semoga dapat dipertemukan kembali lagi dalam kegiatan selanjutnya,sangat suka bawa materi temu giat,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,1,bermakna,1
"tetap konsisten dengan cara mengajarnya, saya suka",konsisten ajar suka,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Perhatikan peserta & materi di ajarkan lengkap,perhati serta materi ajar lengkap,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
"materinya bagus, penyampaiannya juga jelas, hanya saja kadang kurang responsif ketika ada peserta masih ketinggalan materi",materi bagus sampai kadang kurang responsif serta tinggal materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,1
"mantap, semoga bisa ditingkat lebih baik lagi",mantap tingkat lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,3,bermakna,0
Dipertahankan dan ditingkatkan,tahan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
unntuk pengajar sangat jelas dalam menyampaikan materi,unntuk ajar sangat materi,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",netral,0,bermakna,0
Materinya agar ditingkatkan dan semoga pemateri lebih baik dalam mengajar,materi materi lebih baik ajar,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Saran mungkin bisa di berikan materinya setelah pelatihan,materi latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,bermakna,0
BERIKAN PENGAJAR YANG KOMPETEN DI BIDANG CYBER SECURITY,ajar kompeten bidang cyber security,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Sangat senang dengan metode pembelajaran yang di berikan dan dapat dipahami dengan baik,sangat senang metode ajar paham baik,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",negatif,-1,bermakna,0
Tidak di ajarkan mengenai pembuatan logo atau editing logo,tidak ajar buat logo editing logo,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,2
mungkin pengajar lebih dicari yang lebih kompeten dan perbanyak praktik yang kompten juga,ajar lebih cari lebih kompeten banyak praktik kompten,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,1
Menambahkan 1-2 pengajar,ajar,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,tidak bermakna,0
Belum ada,,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Makasih,terima kasih,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Ada beberapa yng tidak sesuai dengan materi dan ujian,tidak sesuai materi uji,2,"uji, kompetensi, uji kompetensi, baik, serta, assessor, sangat, uji sangat, sesuai, asesor",positif,1,bermakna,1
Pelatihan membantu untuk kerja kedepan,latih bantu kerja depan,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",positif,1,bermakna,0
Semoga kedepannya lebih baik lagi,depan lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Semoga bisa lebih baik dari sebelumnya,lebih baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Sangat memuaskan semoga kedepannya bisa di kembangkan lagi,sangat muas depan kembang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
"Pengajar sangat baik dan komunikatif, pembelajaran juga seru dan menyenangkan",ajar sangat baik komunikatif ajar seru senang,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",netral,0,bermakna,0
Menurut saya sangat sesuai dan jelas apa yang di ajarkan kepada peserta,sangat sesuai ajar serta,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,2,bermakna,0
"Baik dan mudah dipahamai, materinya juga relevan dan up to date",baik mudah dipahamai materi relevan up to date,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
Terlalu cepat menjelaskan pada saat membawa materi😅🙏,cepat bawa materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
"Mungkin Bisa Memberikan materi yang lebih leluasa misal pengalaman dll, dan bukan hanya terkait prosedur tapi Terimakasih ilmunya sangat bermanfaat 🙏",materi lebih leluasa alam dan lain kait prosedur ilmu sangat manfaat,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,2,bermakna,1
"Pengajarnya menjelaskan dengan bahasa yang mudah dipahamai, gampang diajak diskusi, tidak mengintimidasi, dan orangnya baik.",ajar bahasa mudah dipahamai gampang ajak diskusi tidak intimidasi orang baik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-2,bermakna,1
Pengajar sangat baik dan menjelaskan sampai kami paham.,ajar sangat baik paham,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",netral,0,bermakna,0
Mengajar di kampus unismuh,ajar kampus unismuh,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Mudah di pahami,mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
kelas pemateri,kelas materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,0
Ad edit sangat baik menjelaskan tetapi terlalu cepat,edit sangat baik cepat,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",netral,0,bermakna,0
Mungkin interaksinya dengan peserta lebih diperkuat karna sebagian peserta belum memiliki basic desain sehingga kebingungan,interaksi serta lebih kuat serta milik basic desain bingung,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,5,bermakna,1
"Proses penyampaian materinya memuaskan, hanya saja durasi pembelajaran bisa di tambah jadi 4-5 hari",proses sampai materi muas durasi ajar,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,2,bermakna,1
materi praktek lebih diperbanyak.,materi praktek lebih banyak,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
pembawaan materinya semoga bisaa lebihh baik lagii,bawa materi bisaa lebihh baik lagi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,0
Waktunya kurang jadi ada beberapa yang tidak dijelaskan dan penjelasan rumus yang diexcel pada saat pelatihan ada yang tidak tersampaikan,kurang tidak jelas rumus diexcel latih tidak,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-3,bermakna,4
"Untuk penyampaian materinya sangan asik, dan kami di berikan juga simulasi saat ujikom jadi pada saat ujikom kami sudah tidak terlalu gugup",sampai materi sangan asik simulasi ujikom ujikom tidak gugup,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,2
Semoga kedepannya pengajar bisa memberikan ilmu yang lebih luas lagi mengenai operator komputer madya,depan ajar ilmu lebih luas operator komputer madya,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,3,bermakna,1
Lebih baik lagi penyajian materi,lebih baik saji materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,2,bermakna,0
Terimakasih banyak kepada pengajar atas materi yg diberikan,ajar materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
"terimakasih untuk pengajarnya, tapi alangkah baiknya jika penjelasan yang disampaikan itu step by step tidak terlalu cepat jadi kami sebagai peserta juga bisa fokus dalam memahami setiap penjelasannya:)",ajar alangkah baik jelas step by step tidak cepat serta fokus paham jelas,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
pengajar sangat interaktif dengan peserta dan membawakan materi dengan cara yang menyenangkan,ajar sangat interaktif serta bawa materi senang,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,1,bermakna,1
Ada beberapa materi ujikom yang belum sempat dipaparkan,materi ujikom papar,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,0
"tidak ada hubungan antara materi dengan uji kompetensi, materi hanya dasar dasar , pengertian dll, praktek hanya 1 kali . tools tools yang di gunakan pada saat uji kompetensi tdk pernah di ajarkan pada saat materi kecuali wireshark. mengakibatkan keterlambatan ujian karna di arahkan ujian besok agar bisa melakukan persiapan unruk tools tools yang di gunakan pada saat ujian",tidak hubung materi uji kompetensi materi dasar dasar erti dan lain praktek kali tools tools uji kompetensi tidak ajar materi kecuali wireshark akibat lambat uji arah uji besok siap unruk tools tools uji,2,"uji, kompetensi, uji kompetensi, baik, serta, assessor, sangat, uji sangat, sesuai, asesor",positif,6,bermakna,5
Penyampaian dapat di pahami,sampai paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Bersyukur bisa ikut pelatihan VSGA dan di ajar langsung oleh ahli nya di bidang OKM terimakasih atas ilmunya 👍,syukur latih vsga ajar langsung ahli bidang okm ilmu,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,3,bermakna,1
"Saya merasa ada sedikit yang tidak stabil dalam hal bidang kompetensi pengajar dan materi yang diajarkan. Sama sekali tidak membuktikan pengajar menguasai betul"" materi baik secara praktek maupun pembawaan materi. Saya menyarankan teman"" penyelenggara. Jika tujuan utama dari pelatihan ini adalah untuk mencapai Indonesia Maju 2045. Mohon sesuaikan apa yang anda lakukan dengan seberapa besar tujuan anda, Ingat hal profesionalisme harus menjadi keyakinan untuk memberikan kenyamanan bagi sesama. GANTI PEMATERI SESUAI DENGAN BIDANG YANG DIAJARKAN, ITU TIDAK SETARA! saran saya tentukan teknisi yang aktif dilapangan saja. Yang penting adalah skill!",tidak stabil bidang kompetensi ajar materi ajar tidak bukti ajar kuasa materi baik praktek bawa materi saran teman selenggara tuju utama latih capai indonesia maju sesuai laku tuju profesionalisme yakin nyaman ganti materi sesuai bidang ajar tidak tara tentu teknisi aktif lapang skill,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,5,bermakna,7
semua berjalan lancar dan baik terimah kasih untuk materi yang telah diajarkan kepada kami semua.,jalan lancar baik terimah materi ajar,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
pengajar sudah sangat baik dalam menyampaikan materi sehingga dapat mudah dipahami,ajar sangat baik materi mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
penjelasannya mudah dipahami,jelas mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Kesempatan Waktu yang di berikan kepada pengajar untuk menyampaikan materinya terlalu singkat,sempat ajar materi singkat,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,0
Semoga kedepannya bisa lebih ke pelatihan bukan follow up,depan lebih latih follow up,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Pengajar nya ngak ngebosanin mknya bisa seenjoy ini ujianya,ajar ngak ngebosanin mknya seenjoy ujianya,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
Pengajar sebaiknya lebih memperhatikan cara pembahasan materi karena latar belakang pendidikan dan kemampuan dasar peserta berbeda-beda,ajar lebih perhati bahas materi latar didik mampu dasar serta berbedabeda,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,3,bermakna,1
"Saya tidak mempunyai keluhan terhadap pengajar, pengajar kelas saya baik dan pintar dalam mempahamkan kami dengan materi yg diberikan, semoga kedepannya konsisten dengan pengajar pengajar yang easy going dan tidak kaku dalam mengajar",tidak keluh ajar ajar kelas baik pintar paham materi depan konsisten ajar ajar easy going tidak kaku ajar,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-3,bermakna,3
"Pengajarnya sedikit keras tapi the best, Alhamdulillah dapat Ilmu baru",ajar keras the best alhamdulillah ilmu,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,1
Memperbanyak praktik terutama untuk excel ada beberapa rumus excel belum saya ketahui bagaimana penggunaannya,banyak praktik excel rumus excel tahu guna,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
tambah 1 asisten materi untuk membantu peserta,asisten materi bantu serta,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Lumayan,,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
Materinya bisa lebih detail lagi,materi lebih detail,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,2,bermakna,0
sangat baik dan jelas karna pengajar sangat menjelaskan secara detail,sangat baik ajar sangat detail,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,1,bermakna,0
untuk pemateri dan asessor berkompeten dalam memberikan materi dan masukan,materi asessor kompeten materi,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
"di batch selanjutnya, Untuk JCS tingkat lagi materi secara teknis/praktek",batch jcs tingkat materi teknispraktek,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
harusnya pemateri lebi banyak melakukan praktek daripada matri terus menerus,materi lebi praktek matri terus,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
Lembut lembutkan suaranya kalo marah,lembut lembut suara marah,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
"Karena adanya keterbatasan waktu, materi yang disampaikan tidak selengkap dengan materi yang diujikan",batas materi tidak lengkap materi uji,2,"uji, kompetensi, uji kompetensi, baik, serta, assessor, sangat, uji sangat, sesuai, asesor",negatif,-1,bermakna,2
"Masih banyak yang tidak sesuai mengenai materi yang diajarkan dan tidak sesuai dengn tugas.
 Dan untuk instruktur pematerinya, belau hanya fokus sama peserta tertentu yang menurutnya kompoten padahal masih bnyk pserta yang lebih kompoten di kelas, menurut saya beliau hanya mementingkan peserta tertentu",tidak sesuai materi ajar tidak sesuai dengn tugas instruktur pater belau fokus serta turut kompoten pserta lebih kompoten kelas beliau penting serta,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,4
tolong lain kali pematerinya yang benar-benar ahli dalam bidangnya,kali pater benarbenar ahli bidang,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
"Pengajar sudah sangat baik dalam menyampaikan materi, penyampaian yang mudah dipahami dan menggunakan metode pembelajaran yang dapat membantu peserta memahami lebih cepat materinya. Pengajar juga selalu melakukan interaksi dengan peserta dan selalu disiplin sesuai dengan jadwal pelatihan",ajar sangat baik materi sampai mudah paham metode ajar bantu serta paham lebih cepat materi ajar interaksi serta disiplin sesuai jadwal latih,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,4,bermakna,1
"Baik, cara mengajar sangat mudah di pahami",baik ajar sangat mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Berkah ilmunya,berkah ilmu,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,2,bermakna,0
Sangat dimengerti materi dan ujiannya,sangat erti materi uji,2,"uji, kompetensi, uji kompetensi, baik, serta, assessor, sangat, uji sangat, sesuai, asesor",positif,1,bermakna,0
tidak terlalu lancar saat menjelaskan,tidak lancar,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,1
Saat ini sudah sangat baik dan harapan kedepannya menjadi lebih baik lagi,sangat baik harap depan lebih baik,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,1,bermakna,0
Metode cara mengajar yg terbilang cepat semoga bisa di tingkatkan lagi,metode ajar bilang cepat tingkat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
sebaiknya waktu pelatihannya di tambah lagi,latih,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",netral,0,tidak bermakna,0
Perlu banyak di ajarkan tools yg lebih banyak karna setiap org memiliki perbedaan skill,ajar tools lebih orang milik beda skill,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,1
Materi yang di ajarkan mudah di mengerti,materi ajar mudah erti,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Pengajar sangat baik dalam menyampaikan materi,ajar sangat baik materi,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",netral,0,bermakna,0
sangat mudah dipahami dan menerima pertanyaan walaupun bkn waktu pelatihan,sangat mudah paham terima latih,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",positif,1,bermakna,0
"Dihari terakhir pelatihan, karena rapat pembelajaran diundur beberapa saat, sehingga pada saat asesor datang, pembelajaran dihentikan meski materi belum semuanya dijelaskan sesuai silabus.",hari latih rapat ajar undur asesor ajar henti materi sesuai silabus,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,1
Diimbangi teori dan praktek,imbang teori praktek,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,0
Semoga pengajarnya bisa lebih menarik supaya bisa membuat para pelajar untuk nyaman.,ajar lebih tarik ajar nyaman,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,3,bermakna,0
Pengajarnya baik dan materi yg di sampaikan mudah untuk di pahami.,ajar baik materi mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Metode pengajarannya dipertahankan,metode ajar tahan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",negatif,-1,bermakna,0
semoga lebih baik kedepannya lagi,lebih baik depan,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Mungkin saran dari saya lebih banyak ke prakteknya itu saja,lebih praktek,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
Bagus tapi masih kurang untuk materi prakteknya kebanyakan materi di banding praktek,bagus kurang materi praktek banyak materi banding praktek,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",negatif,-1,bermakna,1
Mengenai penjelasan tools yang ada kurang rinci dan beberapa tools yang digunakan untuk materi uji kompetensi belum pernah di ajarkan.,jelas tools kurang rinci tools materi uji kompetensi ajar,2,"uji, kompetensi, uji kompetensi, baik, serta, assessor, sangat, uji sangat, sesuai, asesor",positif,1,bermakna,2
Pengajar sangat menguasai materi,ajar sangat kuasa materi,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,1,bermakna,0
Penyajian materi sudah baik,saji materi baik,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,0
teladan,teladan,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,tidak bermakna,0
"Alangkah baiknya jika apa yang diberikan pada saat materi diberikan selama pelatihan berlangsung, itu juga yang di uji kompetensi kan, karena lain yang diberikan materi lain yang di uji kompetensikan oleh assesor",alangkah baik materi latih uji kompetensi materi uji kompetensi assesor,2,"uji, kompetensi, uji kompetensi, baik, serta, assessor, sangat, uji sangat, sesuai, asesor",positif,4,bermakna,0
Pengajar asik,ajar asik,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
materi terlalu banyak dan waktu sedikit sehingga kurang waktu untuk pelatihan kebanyakan teori,materi kurang latih banyak teori,4,"latih, fasilitas, ruang, fasilitas latih, ruang fasilitas, wifi, sedia, lebih, sangat, nyaman",negatif,-1,bermakna,1
materi mudah dipahami,materi mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
"Mungkin untuk Materi Cyber Security kalau misal pemakaian software, kedepannya diterapkan lebih banyak daripada teori",materi cyber security pakai software depan terap lebih teori,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",positif,1,bermakna,1
Pengajar dari Kominfo sangat baik,ajar kominfo sangat baik,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",netral,0,bermakna,0
Agak boring dan kurang membangun suasana,boring kurang bangun suasana,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
sangant membantu dan bermanfaat,sangant bantu manfaat,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",positif,1,bermakna,0
Dosennya asik dan mudah di pahami,dosen asik mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",positif,1,bermakna,0
"Guru yang mengajar sangat baik, ramah, penjelasan dari guru mudah di mengerti",guru ajar sangat baik ramah jelas guru mudah erti,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,2,bermakna,0
Mudah dimengerti,mudah erti,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Menjelaskan Materi dengan Jelas dan mudah dipahami,materi mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Menyampaikan materi dengan jelas sehingga mudah untuk dipahami,materi mudah paham,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
sangat bermanfaat dan dapt di mengerti saat proses pembelajaran,sangat manfaat dapt erti proses ajar,3,"sangat, sangat baik, baik, ajar, materi, ajar sangat, materi sangat, uji, latih, serta",positif,2,bermakna,1
Mudah di pahami saat pembawaan materi,mudah paham bawa materi,8,"mudah, mudah paham, paham, materi, materi mudah, ajar, sangat, ajar mudah, mudah erti, erti",netral,0,bermakna,0
Pemateri baik dan ramah serta materi yang di sampaikan bisa di cerna oleh peserta,materi baik ramah materi cerna serta,1,"materi, lebih, baik, lebih baik, ajar, depan, cepat, depan lebih, sampai, sampai materi",netral,0,bermakna,0
Memberikan pengetahuan dan wawasan serta memotivasi sehingga membangkitkan semangat dalam pembelajaran,tahu wawas motivasi bangkit semangat ajar,7,"kurang, tidak, ruang, tahan, lebih, jaring, tingkat, cepat, nasi, sedia",netral,0,bermakna,1
