komentar bermakna,klaster,sentimen,makna
Waktunya kurang jadi ada beberapa yang tidak dijelaskan dan penjelasan rumus yang diexcel pada saat pelatihan ada yang tidak tersampaikan,7,negatif,bermakna
"Untuk penyampaian materinya sangan asik, dan kami di berikan juga simulasi saat ujikom jadi pada saat ujikom kami sudah tidak terlalu gugup",7,negatif,bermakna
Semoga kedepannya pengajar bisa memberikan ilmu yang lebih luas lagi mengenai operator komputer madya,7,positif,bermakna
Lebih baik lagi penyajian materi,1,positif,bermakna
Terimakasih banyak kepada pengajar atas materi yg diberikan,1,netral,bermakna
"terimakasih untuk pengajarnya, tapi alangkah baiknya jika penjelasan yang disampaikan itu step by step tidak terlalu cepat jadi kami sebagai peserta juga bisa fokus dalam memahami setiap penjelasannya:)",7,netral,bermakna
pengajar sangat interaktif dengan peserta dan membawakan materi dengan cara yang menyenangkan,3,positif,bermakna
Ada beberapa materi ujikom yang belum sempat dipaparkan,1,negatif,bermakna
"tidak ada hubungan antara materi dengan uji kompetensi, materi hanya dasar dasar , pengertian dll, praktek hanya 1 kali . tools tools yang di gunakan pada saat uji kompetensi tdk pernah di ajarkan pada saat materi kecuali wireshark. mengakibatkan keterlambatan ujian karna di arahkan ujian besok agar bisa melakukan persiapan unruk tools tools yang di gunakan pada saat ujian",2,positif,bermakna
Penyampaian dapat di pahami,8,netral,bermakna
Bersyukur bisa ikut pelatihan VSGA dan di ajar langsung oleh ahli nya di bidang OKM terimakasih atas ilmunya 👍,7,positif,bermakna
"Saya merasa ada sedikit yang tidak stabil dalam hal bidang kompetensi pengajar dan materi yang diajarkan. Sama sekali tidak membuktikan pengajar menguasai betul"" materi baik secara praktek maupun pembawaan materi. Saya menyarankan teman"" penyelenggara. Jika tujuan utama dari pelatihan ini adalah untuk mencapai Indonesia Maju 2045. Mohon sesuaikan apa yang anda lakukan dengan seberapa besar tujuan anda, Ingat hal profesionalisme harus menjadi keyakinan untuk memberikan kenyamanan bagi sesama. GANTI PEMATERI SESUAI DENGAN BIDANG YANG DIAJARKAN, ITU TIDAK SETARA! saran saya tentukan teknisi yang aktif dilapangan saja. Yang penting adalah skill!",1,positif,bermakna
semua berjalan lancar dan baik terimah kasih untuk materi yang telah diajarkan kepada kami semua.,1,netral,bermakna
pengajar sudah sangat baik dalam menyampaikan materi sehingga dapat mudah dipahami,8,netral,bermakna
penjelasannya mudah dipahami,8,netral,bermakna
Kesempatan Waktu yang di berikan kepada pengajar untuk menyampaikan materinya terlalu singkat,1,negatif,bermakna
Semoga kedepannya bisa lebih ke pelatihan bukan follow up,1,positif,bermakna
Pengajar nya ngak ngebosanin mknya bisa seenjoy ini ujianya,7,netral,bermakna
Pengajar sebaiknya lebih memperhatikan cara pembahasan materi karena latar belakang pendidikan dan kemampuan dasar peserta berbeda-beda,1,positif,bermakna
"Saya tidak mempunyai keluhan terhadap pengajar, pengajar kelas saya baik dan pintar dalam mempahamkan kami dengan materi yg diberikan, semoga kedepannya konsisten dengan pengajar pengajar yang easy going dan tidak kaku dalam mengajar",1,negatif,bermakna
"Pengajarnya sedikit keras tapi the best, Alhamdulillah dapat Ilmu baru",7,positif,bermakna
Memperbanyak praktik terutama untuk excel ada beberapa rumus excel belum saya ketahui bagaimana penggunaannya,7,positif,bermakna
tambah 1 asisten materi untuk membantu peserta,1,positif,bermakna
Materinya bisa lebih detail lagi,1,positif,bermakna
sangat baik dan jelas karna pengajar sangat menjelaskan secara detail,3,positif,bermakna
untuk pemateri dan asessor berkompeten dalam memberikan materi dan masukan,1,netral,bermakna
"di batch selanjutnya, Untuk JCS tingkat lagi materi secara teknis/praktek",1,positif,bermakna
harusnya pemateri lebi banyak melakukan praktek daripada matri terus menerus,1,netral,bermakna
Lembut lembutkan suaranya kalo marah,7,negatif,bermakna
"Karena adanya keterbatasan waktu, materi yang disampaikan tidak selengkap dengan materi yang diujikan",2,negatif,bermakna
"Masih banyak yang tidak sesuai mengenai materi yang diajarkan dan tidak sesuai dengn tugas.
 Dan untuk instruktur pematerinya, belau hanya fokus sama peserta tertentu yang menurutnya kompoten padahal masih bnyk pserta yang lebih kompoten di kelas, menurut saya beliau hanya mementingkan peserta tertentu",7,netral,bermakna
tolong lain kali pematerinya yang benar-benar ahli dalam bidangnya,7,netral,bermakna
"Pengajar sudah sangat baik dalam menyampaikan materi, penyampaian yang mudah dipahami dan menggunakan metode pembelajaran yang dapat membantu peserta memahami lebih cepat materinya. Pengajar juga selalu melakukan interaksi dengan peserta dan selalu disiplin sesuai dengan jadwal pelatihan",1,positif,bermakna
"Baik, cara mengajar sangat mudah di pahami",8,netral,bermakna
Berkah ilmunya,7,positif,bermakna
Sangat dimengerti materi dan ujiannya,2,positif,bermakna
tidak terlalu lancar saat menjelaskan,7,negatif,bermakna
Saat ini sudah sangat baik dan harapan kedepannya menjadi lebih baik lagi,3,positif,bermakna
Metode cara mengajar yg terbilang cepat semoga bisa di tingkatkan lagi,7,netral,bermakna
Perlu banyak di ajarkan tools yg lebih banyak karna setiap org memiliki perbedaan skill,7,positif,bermakna
Materi yang di ajarkan mudah di mengerti,8,netral,bermakna
Pengajar sangat baik dalam menyampaikan materi,3,netral,bermakna
sangat mudah dipahami dan menerima pertanyaan walaupun bkn waktu pelatihan,8,positif,bermakna
"Dihari terakhir pelatihan, karena rapat pembelajaran diundur beberapa saat, sehingga pada saat asesor datang, pembelajaran dihentikan meski materi belum semuanya dijelaskan sesuai silabus.",1,netral,bermakna
Diimbangi teori dan praktek,7,netral,bermakna
Semoga pengajarnya bisa lebih menarik supaya bisa membuat para pelajar untuk nyaman.,1,positif,bermakna
Pengajarnya baik dan materi yg di sampaikan mudah untuk di pahami.,8,netral,bermakna
Metode pengajarannya dipertahankan,7,negatif,bermakna
semoga lebih baik kedepannya lagi,1,positif,bermakna
Mungkin saran dari saya lebih banyak ke prakteknya itu saja,1,positif,bermakna
Bagus tapi masih kurang untuk materi prakteknya kebanyakan materi di banding praktek,1,negatif,bermakna
Mengenai penjelasan tools yang ada kurang rinci dan beberapa tools yang digunakan untuk materi uji kompetensi belum pernah di ajarkan.,2,positif,bermakna
Pengajar sangat menguasai materi,3,positif,bermakna
Penyajian materi sudah baik,1,positif,bermakna
"Alangkah baiknya jika apa yang diberikan pada saat materi diberikan selama pelatihan berlangsung, itu juga yang di uji kompetensi kan, karena lain yang diberikan materi lain yang di uji kompetensikan oleh assesor",2,positif,bermakna
Pengajar asik,7,positif,bermakna
materi terlalu banyak dan waktu sedikit sehingga kurang waktu untuk pelatihan kebanyakan teori,4,negatif,bermakna
materi mudah dipahami,8,netral,bermakna
"Mungkin untuk Materi Cyber Security kalau misal pemakaian software, kedepannya diterapkan lebih banyak daripada teori",1,positif,bermakna
Pengajar dari Kominfo sangat baik,3,netral,bermakna
Agak boring dan kurang membangun suasana,7,netral,bermakna
sangant membantu dan bermanfaat,7,positif,bermakna
Dosennya asik dan mudah di pahami,8,positif,bermakna
"Guru yang mengajar sangat baik, ramah, penjelasan dari guru mudah di mengerti",3,positif,bermakna
Mudah dimengerti,8,netral,bermakna
Menjelaskan Materi dengan Jelas dan mudah dipahami,8,netral,bermakna
Menyampaikan materi dengan jelas sehingga mudah untuk dipahami,8,netral,bermakna
sangat bermanfaat dan dapt di mengerti saat proses pembelajaran,3,positif,bermakna
Mudah di pahami saat pembawaan materi,8,netral,bermakna
Pemateri baik dan ramah serta materi yang di sampaikan bisa di cerna oleh peserta,1,netral,bermakna
Memberikan pengetahuan dan wawasan serta memotivasi sehingga membangkitkan semangat dalam pembelajaran,7,netral,bermakna
Seru mudah dipahami,8,netral,bermakna
Saran sya agar pelatihan lebih di perbaiki lagi kedepannya dan pelatihan yang di lakukan lebih jauh lagi dan durasi waktunya di berikan lebih banyak waktu agar semua materi tdk ada yang tertuburuh di hari terakhir pelatihan,1,positif,bermakna
"Sangat ramah dan baik, penyampaian materinya mudah di pahami",8,netral,bermakna
Memperbanyak praktek nya saja,7,netral,bermakna
Baiknya prakteknya di ruangan diperbanyak,7,negatif,bermakna
"pengajar sangat informatif terhadap peserta, sampai paham materi dengan baik, sehingga peserta dapat menyelesaikan uji kompetensi dengan mudah",2,positif,bermakna
Saya sangat senang dengan pengajar karena saat menjelaskan setiap materi sangat mudah di pahami dan orang nya sangat baik dan ramah,3,netral,bermakna
"Makasih buat bapak Herman yg telah memberi kami ilmu yg selama ini kami kurang tau dan paham dan juga karna dari kegiatan ini saya banyak belajar tentang word, excel, dan power point .",7,positif,bermakna
penyampaian materi mungkin jangan terlalu cepat,1,netral,bermakna
"Dalam pelatihan, pengajar sangat sabar dalam menjelaskan isi materi begitupun dalam mempretek kan secara langsung",3,positif,bermakna
saya ucapkan banyak terimakasih kepada pemateri kakak Khaidir Mubarak yang telah memberikan ilmu yang sangat bermanfaat pada kelas Junior Design Grapich ini. dalam pembuatan design kedepannya saya akan mengaplikasikan ilmu ilmu yang telah saya peroleh.,7,positif,bermakna
"baiknya benar benar dilatih menggunakan software design yg digunakan peserta, dan perbanyak praktek menggunakan software tersebut",7,positif,bermakna
"Semoga pengajarnya bisa lebih berkembang lagi kedepannya buat calon"" yang akan dilatih di batch selanjutnya",1,positif,bermakna
Semoga ada kelas pelatihan JGD lagi,4,negatif,bermakna
materinya mudah pahami,8,netral,bermakna
Kesesuaian jam pengaran,7,netral,bermakna
baiknya prakteknya lebih diperdalam lagi saat diruang kelas,7,netral,bermakna
Cara menjelaskan cepat dipahami,7,netral,bermakna
"Ramah, sangat membantu dalam proses pengajaran pelatihan, memberikan materi yang mudah di pahami",8,positif,bermakna
"Komunikasi yang sangat baik, pengajaran yang sangat baik dan santai sehingga waktu pelatihan tidak terlalu menegangkan dan mudah di pahami, pengajar yang sangat ramah. Trimakasih untuk Ilmu nya 🙏🏻",3,positif,bermakna
Tolong kecepatan dalam mengajar nya di kurangi sedikit karena tidak semua peserta langsung tanggap secepat peserta yang lain. Terima kasih,7,positif,bermakna
Terkait pengajar cara mengajarnya sudah optimal sehingga memudahkan saya dlam memahami materi.,1,positif,bermakna
"Terkait durasi mungkin harus lebih lama lagi, tiga hari rasanya kurang cukup.",7,positif,bermakna
Nga ada kritik penjelasannya mudah di pahami☺️,8,netral,bermakna
"Sudah sangat baik pemberian pengajaran, mungkin pemberian materinya bisa ditambahkan dengan media seperti video",3,netral,bermakna
Kompleksitas materi,1,negatif,bermakna
"Terimakasih atas ilmu pengetahuannya dan materinya yang sangat bermanfaat bagi mahasiswa, semoga kedepannya dapat bertemu lagi dalam pelatihan selanjutnya",3,positif,bermakna
Lebih interaktif,7,positif,bermakna
Waktu pelatihan terlalu singkat,4,negatif,bermakna
Materi yang di berikan kepada kami sangat bermanfaat bagi kami Thank You,3,positif,bermakna
Menurut saya pengajar memberikan materi sangat baik dan mudah dipahami,8,netral,bermakna
Diharapkan lebih rama,7,positif,bermakna
"Kritik:
 1. Kecepatan Penyampaian: Pengajar terlalu cepat dalam menyampaikan materi sehingga sulit untuk mengikuti dengan baik.
 2. Kesulitan Memahami: Beberapa peserta mungkin kesulitan untuk menangkap informasi dengan baik karena kecepatan penyampaian yang tinggi.
 
 Saran:
 1. Penyesuaian Kecepatan: Mohon agar pengajar untuk memperlambat kecepatan penyampaian agar semua peserta dapat memahami dengan lebih baik.",1,positif,bermakna
Pengajar memberikan materi sangat baik.dan bisa di pahami pada saat menyampaikan materinya,3,netral,bermakna
Cara jelasin materinya jangan terlalu cepat hehe tapi semuanya sudah oke sih top markotop,1,positif,bermakna
sebaiknya jika menjelaskan diperlambat karena saat praktek biasa peserta tertinggal.,7,positif,bermakna
Pengajar memberikan materi sangat baik. Dan juga bisa di pahami pada saat menjelaskan materinya. Dan juga bisa lolos uji kompeten,3,netral,bermakna
"Kritik: Jika ada mahasiswa yang tidak memerhatikan, tidak masalah untuk sedikit menegurnya.
 
 Saran: Semoga bapak bisa lebih sabar dalam mengajar.",7,netral,bermakna
materi yang bapak sampaikan sedikit mudah untuk di pahami,8,netral,bermakna
Sangat mudah dipahami. Penyampaian dan pembawaan materi sangat menarik.,8,positif,bermakna
"Susah"" gampang",7,negatif,bermakna
Menyenangkan dan gampang dipahami.,7,netral,bermakna
"Semoga pengajar saya tetap sehat, panjang umur, dan rezekinya dilimpahkan",7,positif,bermakna
Penjelasan terlalu cepat,7,netral,bermakna
Sebaiknya ada games atau kuis agar tidak terlalu bosan,7,negatif,bermakna
Penjelasan yang mudah dipahami,8,netral,bermakna
Lebih pelan dalam menjelaskan materi,1,positif,bermakna
Tambah materi yg lebih komplek,1,positif,bermakna
dapat cepat memahami materi yang di ajarkan,1,netral,bermakna
"Udh bgus bnget kok. Cuma waktu nya aja yg kuran, klo bisa ditambah waktu untuk menambah materi misal 3 hri untuk excel, 3 hri untuk word",7,positif,bermakna
mudah di pahami ketika menjelaskan,8,netral,bermakna
"Metode mengajar sebaiknya dilakukan bervariasi, dan mohon diperhatikan semua peserta mengenai tingkat pemahaman materi",1,positif,bermakna
tidak ada karena dalam penyampaian dll semuanya bagus dan jelas hanya kedisiplinan yg kurang biasa kita ngaret,7,negatif,bermakna
bgus dan mnyenangkan,7,netral,bermakna
Materi sangat bermanfaat diharapkan bisa memberikan ilmu lagi di lain waktu,3,positif,bermakna
Semoga kedepannya bisa lebih baik dalam memberikan teori maupun praktik,1,positif,bermakna
Suara kurang jelas,7,negatif,bermakna
"untuk pemateri, mungkin bisa lebih pelan dalam menjelaskan materi",1,positif,bermakna
sebaiknya kami difasilitasi agar kami dapat belajar terus mengenai operator komputer madya walaupun pelatihannya telah selesai,4,netral,bermakna
Cara menyampaikan materi jelas dan mudah dipahami,8,netral,bermakna
Suaranya kurang keras,7,negatif,bermakna
Terlalalu cepat dlm menjelaskan,7,netral,bermakna
Metode penyampaian materinya bisa di pahami,1,negatif,bermakna
Mohon di cek kesediaan dan kesiapan peserta sebelum memulai pengujian,2,positif,bermakna
suaranya kurang besar,7,negatif,bermakna
"saran saya, kalau bisa kakak pemateri menjelaskan jangan cepat,karna peserta yang duduk di belakang tidak begitu cepat menangkap materi dari kakak,tapi selebihnya kakak pemateri HEBATT",1,netral,bermakna
"dalam ujikom nya ada soal yang tidak kami pelajari pas pelatihan sehingga pas ujikom kami tidak paham, mungkin pengajar lupa mengajarkannya kepada kami tapi diluar daripada itu, semuanyaa best",7,netral,bermakna
- Penyampaian materi nya terlalu cepat.,1,netral,bermakna
Dalam uji kompetensi terdapat beberapa soal yang materinya belum diajarkan,2,positif,bermakna
"untuk pengajar ketika menyampaikan materi baiknya menyampaikan dengan pelan""",1,netral,bermakna
Pembelajaran yang diberikan sangat bermanfaat namun cara penjelasan penyampaiannya sangat cepat,3,positif,bermakna
Fasilitas model book,4,positif,bermakna
"Pengajar sangat baik, ramah dan seru. Terkait kesesuaian materi pelatihan dengan materi uji kompetensi saling berhubungan tapi agak shock dengan ujikom nya. Tapi Alhamdulillah bisa selesai tepat waktu🙏🏻",3,positif,bermakna
Semoga bisa lebih mencairkan suasana,7,positif,bermakna
Pengajar terlalu cepat menjelaskan,1,netral,bermakna
cara menjelaskannya jangan terlalu cepat,7,netral,bermakna
kuliatas materi pelatihan dan disiplin dalam mengajar,1,positif,bermakna
pemateri terlalu cepat dalam mnjelaskan,1,netral,bermakna
cara mengajarnya terlalu cepat saat menyampaikan sesuatu,1,netral,bermakna
tidak terlalu cepat dalam penyampaian,7,negatif,bermakna
Cara penyampaian materinya cepat,1,netral,bermakna
Sebaiknya dalam memaparkan materi lebih santai atau tdk perlu terburu buru agar kami tdk ketinggalan materi yg disampaikan,1,negatif,bermakna
Cara penyampaian materinya terlalu cepat untuk saya yang tidak cepat tangkap kak,1,negatif,bermakna
"Pematari Yg sangat bagus
 Saran : Tidak terlalu cepat menjelaskan",7,negatif,bermakna
Pengajar sudah sangat berkompeten dan melaksanakan tugasnya dengan baik. Hanya saja waktu pelaksanaan pelatihan nya kurang banyak. Kami masih mau bertanya berbagai hal tapi terbatas waktu. Terima kasih banyak untuk Kak Muhammad Nur Akbar!!,3,negatif,bermakna
Saran saya kak fadly lebih pelan pelan dalam menjelaskan,7,positif,bermakna
Sebaiknya cara menjelaskannya jgn terlalu cepat,7,netral,bermakna
sebaiknya cara menjelaskannya lebih pelan,7,positif,bermakna
sebaiknya menjelaskannya jngan terlalu cepat,7,netral,bermakna
Saran saya kurang komunikasi,7,negatif,bermakna
"Akan lebih baik jika teknik mengajarnya lebih seru lagi, tapi cara mengajarnya sudah mudah dipahami",8,positif,bermakna
"Saya sangat suka dengan pengajar nya, ada banyak ilmu baru yang bisa saya dapat terkait Cisco dan tentunya penyampaian materi nya sangat mudah di mengerti",3,positif,bermakna
Membuat tata tertib/kesepakatan peraturan ruangan agar peserta bisa belajar dengan penuh ketertiban dan fokus terhadap materi yang disampaikan.,7,netral,bermakna
KADANG TDK PAHAM KALAU DI JELASKAN,7,netral,bermakna
Pengajar sangat ahli menyampaikan materi,3,netral,bermakna
Semoga kedepannya ketegasannya ditingkatkan,1,netral,bermakna
Penyampaian materi dari kak herman sangat mudah dipahami,8,netral,bermakna
Sesantai itu tp bisa faham sama semua,7,netral,bermakna
"Sudah terbaik, mungkin hanya terkendala kurang materi pada pertemuan pertama.",1,netral,bermakna
"Cepat dipahami, waktu menerangkan saja yang kurang",7,negatif,bermakna
Mengajar kita untuk selalu semangat dan pantang menyerahnya,7,negatif,bermakna
Materi yang dijelaskan kurang detail sehingga agak kesusahan saat ujian kompetensi,2,positif,bermakna
penyampaian yang disampaikan jelas namun ada beberapa materi yang disampaikan kecepatan sehingga sulit dimengerti 🙏🙏,1,netral,bermakna
"sangat baik namun, kemarin ada beberapa materi yg belum disampaikan atau mungkin lupa dikarenakan mengejar waktu dan mengikuti teman teman yg belum selesai, mungkin next time bisa lebih di manajemen waktunya lebih baik lagi sehingga schedule yg sudah ditentukan. Semangat Pak Herman",1,negatif,bermakna
Pemateri sangat baik dan waktu pelatihan yang bisa diperpanjang kedepannya,3,positif,bermakna
"Excelnya, formulanya luarbiasa 😂",7,netral,bermakna
"Pengajar sudah profesional dalam mengajar dan berdiskusi, sehingga peserta mudah menangkap apa yg diajarkan pengajar... Sehat selalu para pengajar, biar next time bisa ketemu lagi 🙏",1,positif,bermakna
"Sudah baik,tetapi masih kurang untuk kita sebagai peserta mengulang latihan. saran untuk adanya latihan terutama dibagian Excel ulang latihan sedikitnya 3x agar lebih mengerti.",4,positif,bermakna
"Gada saran, kaka nya baik, penyampaian materi nya baik, cuman aku sendiri kadang malu buat nanya yang tidak dipahamin hehe",1,negatif,bermakna
Kedepannya harus di tingkat kan,7,positif,bermakna
Saran dari saya mungkin jumlah pengajar bisa ditambahkan untuk setiap kelas,7,negatif,bermakna
"kritik:
 kurangnya komunikasi 
 saran:
 bertnya kepada satu² peserta agar yang malu bertanya dan mengungkapkan kekeliruan nya",7,netral,bermakna
"Pengajar dalam menyampaikan materi sangat jelas dan mudah dipahami, patut diperpanjang untuk mengajar di event yang akan datang",8,positif,bermakna
Jngn terlalu cepat ngajrnya,7,netral,bermakna
Semoga kedepannya lebih baik lagi,1,positif,bermakna
Lebihh banyak komunikasi,7,netral,bermakna
Pengajar terlalu cepat,1,netral,bermakna
Dikarenakan berisik jadi suara instruktur kurang terdengar jelas,7,netral,bermakna
Saran saya suara nya agak di besarin krna kita yg di belakang kurang dengar hehehe,7,netral,bermakna
"Materi yang diberi cukup baik, namun ada beberapa materi yang belum diajarkan",1,netral,bermakna
"Pengajar sudah melakukan tugasnya dengan sangat baik, dengan keterlibatan yang tinggi, penyampaian materi yang jelas dan terstruktur, serta kemampuan untuk menjawab pertanyaan peserta secara efektif.",3,positif,bermakna
Menggunakan metode tertentu dalam mengajar,1,negatif,bermakna
Saran saya slide materi yg di ajarkan jangan terlalu cpt di ganti,0,netral,bermakna
Lebih sabar lagi,7,positif,bermakna
Saya berterima kasih kepada ibu andi gita yang telah melatih kita untuk mengikuti latihan dan materi yang di berikan,4,positif,bermakna
Instruktur dalam memberikan materi sudah Baik. Feedback antara instruktur dan peserta juga sudah Baik. Sehingga peserta dapat memahami materi dengan baik pula.,1,positif,bermakna
Cara menyampaikan materinya sangat santai dan mudah di mengerti,8,positif,bermakna
Kurangnya kesempatan Peserta untuk bertanya,7,netral,bermakna
Kurang setuju dengan cara diskusi pemateri,7,negatif,bermakna
"Pengajar, panitia beserta Asessor sangat memadai",3,positif,bermakna
Tambahkan orang pengajar satu orang lagi,7,positif,bermakna
"Mungkin waktu pelatihan bisa diperpanjang agar para peserta yang pemula lebih bisa mengikuti dan tidak kebinggungan. dan pengajar diberi pendamping agar bisa membantu dalam hal materi,karna rata"" kelas digitalent sifatnya praktek, sehingga lebih bisa menakomodir dan mendampingi para peserta",7,positif,bermakna
penjelasan mudah dipahami materinya lengkap sehigga,8,netral,bermakna
Semoga para pengajar semakin sukses dan dapat memberikan materi dgn lebih baik lagi.,1,positif,bermakna
lebih permantap lagi ya abangku,7,positif,bermakna
Assessor juga sudah sangat kompleks dan totalitas dalam menguji peserta,2,positif,bermakna
Di sarankan agar diberi kesempatan untuk peserta lebih awal membuat pernyataan atau menjelaskan apa saja yang di pahami selama mendapatkan materi,1,positif,bermakna
Penguji sebaiknya dicukupkan 3 agar efisien,2,positif,bermakna
Tingkatkan sifat ramahnya,7,positif,bermakna
jangan di bikin terlalu susah ujiannya,2,netral,bermakna
Lebih Ramah Lagi,1,positif,bermakna
Orangnya bagus dalam menguji dan juga sangat sabar,2,positif,bermakna
assesornya selain menguji juga memberi ilmu mengenai desain grafis setelah ujian,2,positif,bermakna
Semoga tambah baik kedepanya,1,netral,bermakna
"Sudah sangat baik, lebih di tingkatkan dalam hal melakukan pengujian secara spesifik",3,positif,bermakna
soalnya kurang tidak seperti yang lain,7,negatif,bermakna
Penguji telah memberikan waktu yang memadai dalam pelaksanaan uji Kompetensi,2,positif,bermakna
Ketersediaan waktu yang memadai/efektif dalam pelaksanaan uji kompetensi,2,positif,bermakna
Tempat pengujian yang lebih efektif lagi,2,positif,bermakna
"Ikan hiu makan Sapi, terima kasih banyak pak adli atas masukan yg dikasi",5,negatif,bermakna
no kritik tapi saran mungkin untuk batch 2 tetap pakai penguji batch 1,2,positif,bermakna
Mungkin untuk proses assesmen bisa agak jauh dari posisi peserta yang belum asessmen. Hal ini agar tidak bocornya pertanyaan-pertanyaan yang diberikan kepada asesi. Kalaupun 1 ruangan mungkin bisa diberi jarak/space yang cukup jauh. Saya pikir seperti itu saja. Selebihnya sudah sangat baik. Terimakasih,3,netral,bermakna
Metode yang digunakan baik tapi batasan waktu uji lumayan singkat,2,negatif,bermakna
"Beliau melakukan tugas dengan sangat baik, berbagai pertanyaan yang relevan juga sudah disiapkan. Mohon pertahankan!",3,netral,bermakna
Terlalu banyak pertanyaan yang diluar konteks,7,netral,bermakna
"Asesor, super duper the best.. menguji dengan sesuai kemampuannya peserta masing-masing",2,positif,bermakna
Lebih disiplin,7,positif,bermakna
"Caranya bagus, cmna membutuh kan waktu yg lama karena asesornya hanya 2",7,negatif,bermakna
"Prosesnya sudah baik, hanya saja masih ada beberapa hal kecil yang harus dievaluasi",7,positif,bermakna
di pertahankan dan di tingkatkan,7,positif,bermakna
Penyampaian pertanyaan yang dapat dimengerti,7,netral,bermakna
Seharusnya ketika assessornya tdk sempat datang atau berhalangan hadir harusnya d infokan lebih cepat dan dibagi ke kelas lain dan dberikan pemberitahuan ke para peserta sehingga tdk ada peserta yang tidak ujian pada hari itu,7,negatif,bermakna
Sarannya kakak asesor harus belajar bahasa daerah hehe✌🏻,7,negatif,bermakna
Semoga bisa dipertahankan sampai kedepannya,7,netral,bermakna
"Overall ok, untuk asistennya",7,netral,bermakna
Penyampaian sangat jelas baik kritik maupun saran agar lebih on fire dalam belajar,3,positif,bermakna
Pengujian yang diberikan sesuai dengan materi dan tugas yang telah diberikan sehingga memudahkan untuk menjelaskan walaupun saya agak sedikit gugup.,2,netral,bermakna
ketersediaan waktu yang kurang memadai,7,negatif,bermakna
Alangkah baiknya di setelah peserta surend di kasih tau dimna letak kesalahan konfigurasi nya.,7,netral,bermakna
Makasih penguji,2,positif,bermakna
Uji kompetensi yang diberikan sesuai dengan materi pembelajaran,2,positif,bermakna
Terlalu membuang waktu ujian yang bisa di percepat dengan langsung melakukan 3 test tapi malah saling menunggu dan satusatu.,2,positif,bermakna
Kemarin agak telat ketika memulai ujian,2,positif,bermakna
Humblee bangeet,7,netral,bermakna
ngaret penutupan,7,netral,bermakna
Untuk asessor kurang manajemen waktu untuk setiap pengujiannya,2,netral,bermakna
Lebih banyak ke praktek sih saat uji,2,positif,bermakna
"Sudah bagus, tp sebaiknya lebih di tingkatkan lg",7,positif,bermakna
Materi yang diujikan sesuai dengan materi yang dibawakan pemateri.,1,positif,bermakna
Asesornya seru,7,netral,bermakna
Over all ok,7,netral,bermakna
kurang baik..!,7,negatif,bermakna
sangat sesuai dengan materi yang diberikan,3,positif,bermakna
Agar dapat lebih baik lagi,1,positif,bermakna
Kurang bahas simulasi topologi jarigan di cisco,7,netral,bermakna
Uji tes kompetensi sesuai dengan materi,2,positif,bermakna
"Cara mengujinya santai banget, ngak bikin tegang",2,positif,bermakna
"Kalo soal Assesor sudah oke dan disiplin bangettt. Semua penyampaiannya clear. Terkait saran dari Assesor yang diberikan ke saya pribadi juga bisa saya terima, karena mereka betul2 tau apa yang kurang dari saya dalam pelatihan ini dan apa yang perlu saya perbaiki lagi, the Best lah.",7,positif,bermakna
Asesor hanya 2 orang jadi waktu yg digunakan untuk menguji itu lama,2,positif,bermakna
Lebih tegas dalam menguji,2,positif,bermakna
Semoga keramahan assesor nya tetap terjaga,7,netral,bermakna
Pengujinya juga sangat hamble dan memberikan keleluasan untuk mengerjakkan ujian,2,positif,bermakna
Lebih memperhatikan peserta agar mereka bisa fokus mengerjakan ujian,2,positif,bermakna
"Pengujiannya kurang, melakukan pengujian soal yang sesuai dengan pada saat pelatihan, tidak hanya satu uji nya saja",2,positif,bermakna
"Asesor sangat baik, saya bingung mau kasih saran atau kritik bagaimana sudah perfek soalnya",3,netral,bermakna
"Lumayan bagus utk metode dari cara menguji, saran dri saya kedepannya metode utk wawancara agar peserta bisa menjawab dahulu pertanyaan lalu kemudian di next ke peserta lainnya",2,positif,bermakna
"Semoga kedepannya asesor lebih tepat waktu pada saat pengujian, setidaknya ada pemberitahuan apabila tidak hadir. Kasian kami para peserta yang datang jam 8 pagi sampai jam 13.00 tanpa ada kejelasan mengenai asesor.",2,netral,bermakna
tlg buat pengujian sekaligus spy gak lama,2,positif,bermakna
saran untuk batch selanjutnya lebih baik lagi,1,positif,bermakna
Sebaiknya asesor lebih mencari tau kepada asesi terkait materi dan kemampuan selama pelatihan,1,positif,bermakna
"Maaf tapi yang saya kerjakan dan tugas yg di suruh sma asesor itu sama tapi pemahaman saya cuman berfokus sma tugas yg saya buat, sedangkan asesor minta model lain atay metode lain :)",7,negatif,bermakna
ketat sekali tapi paham materinya,1,negatif,bermakna
Kritik saran sangat membangun dan menambah semangat buat belajar lebih giat.,7,positif,bermakna
Baik dalam penyampaian pertanyaan,1,netral,bermakna
"Tegas, mohon untuk berikan peserta keringanan dalam ujikomnya",7,positif,bermakna
"assesor sangat baik memberikan kemudahan waktu untuk merevisi, saranya mngkin waktu pelaksanaan uji kompetensinya bisa ditambah lagi",2,positif,bermakna
"Lebih banyak bercerita, kurang diuji terkait praktik langsung",2,positif,bermakna
"Assesor nya baik², pertanyaan yang di ajukan semua nya sesuai sama apa yg udah di ajarin.",7,netral,bermakna
"Penguji dan cara uji oke,, tapi waktu uji untuk tiap peserta terlalu lama",2,positif,bermakna
Penguji profesional dalam menjalankan tugasnya,2,netral,bermakna
Kurang menantang,7,negatif,bermakna
Baik dalam hal pengujian,2,positif,bermakna
